# {"t_start": 1569753756.0582826, "env_id": null} 
r,l,t
-10,201,187.494719
-20,201,188.089113
-30,201,188.68093
-30,201,189.298945
-40,201,189.900322
-50,201,190.486374
-20,201,191.080915
-10,201,191.654121
0,201,192.257751
-20,201,192.840878
0,201,193.423817
-30,201,194.005415
-20,201,194.587381
-40,201,195.162824
0,201,195.744618
-20,201,196.320901
-40,201,196.906558
-20,201,197.490117
-20,201,198.10458
-20,201,198.705546
-60,201,199.304805
-20,201,199.888935
-30,201,200.492854
-10,201,201.102561
-20,201,201.708587
0,201,202.303283
-30,201,202.88691
-30,201,203.462719
-30,201,204.041787
-20,201,204.63088
-20,201,205.218129
-60,201,205.803795
-20,201,206.383926
-20,201,206.954881
-40,201,207.530722
-30,201,208.105284
0,201,208.673934
-10,201,209.245101
-10,201,209.818009
-30,201,210.396109
-50,201,210.973877
-50,201,211.545549
0,201,212.118369
-20,201,212.705285
-50,201,213.30143
-40,201,213.896529
-70,201,214.487657
-10,201,215.078667
-40,201,215.668289
-30,201,216.256324
-10,201,216.84172
-30,201,217.427699
-30,201,218.015216
-20,201,218.59618
-30,201,219.179663
-50,201,219.766582
-50,201,220.349131
-40,201,220.933766
-30,201,221.524053
-30,201,222.112655
-20,201,222.686658
-30,201,223.266874
-10,201,223.846829
-10,201,224.423297
-30,201,224.992013
-20,201,225.567009
-30,201,226.13771
-40,201,226.709494
-50,201,227.28064
-50,201,227.859179
-30,201,228.429735
-20,201,228.995301
-30,201,229.570066
-30,201,230.140211
-10,201,230.711495
-30,201,231.316815
-40,201,231.930936
-30,201,232.540781
-40,201,233.153917
-30,201,233.764848
-20,201,234.377665
-20,201,234.977081
-30,201,235.572829
-60,201,236.167133
-20,201,236.763412
-40,201,237.360835
-20,201,237.957983
-20,201,238.560771
-20,201,239.157521
-20,201,239.752137
-40,201,240.351813
-30,201,240.945641
-10,201,241.544464
-10,201,242.138541
-30,201,242.728996
-20,201,243.320306
-20,201,243.919074
-30,201,244.516754
-20,201,245.109243
-10,201,245.706078
-20,201,246.297275
-20,201,246.88245
-40,201,247.480702
-30,201,248.068106
-30,201,248.647285
-40,201,249.226407
-40,201,249.797348
-30,201,250.374052
-40,201,250.94885
-50,201,251.525153
-60,201,252.097147
-30,201,252.658005
-30,201,253.240761
-10,201,253.926485
-40,201,254.565214
0,201,255.200681
-30,201,255.805617
-20,201,256.475226
-30,201,257.126714
-20,201,257.751271
-20,201,258.33971
-30,201,258.949824
-40,201,259.528093
-40,201,260.142735
-20,201,260.771368
-20,201,261.394672
-20,201,261.9957
-40,201,262.617033
-30,201,263.233067
-40,201,263.828002
-40,201,264.404486
-10,201,264.992376
-20,201,265.581946
-20,201,266.165639
-30,201,266.74989
0,201,267.332959
-20,201,267.910349
-30,201,268.489182
-30,201,269.072395
-20,201,269.665666
-20,201,270.264776
-30,201,270.841152
-10,201,271.409712
-60,201,272.002486
-40,201,272.576322
-20,201,273.157249
-30,201,273.743394
-40,201,274.321698
-30,201,274.908889
-30,201,275.483533
-20,201,276.046309
-10,201,276.62129
-20,201,277.19438
-50,201,277.768324
-40,201,278.339683
-20,201,278.912757
-30,201,279.487918
-30,201,280.06012
0,201,280.627517
-30,201,281.194355
-10,201,281.765445
-20,201,282.344367
-40,201,282.912372
-30,201,283.482307
-20,201,284.052898
0,201,284.626659
-50,201,285.203074
-20,201,285.776177
-20,201,286.345963
-20,201,286.905365
-20,201,287.472305
-20,201,288.038456
-30,201,288.600149
-40,201,289.159371
-20,201,289.718721
-30,201,290.285496
-20,201,290.855509
-50,201,291.424709
-10,201,291.994897
-30,201,292.565172
-60,201,293.136403
-40,201,293.708613
-10,201,294.277757
-30,201,294.84441
