# {"t_start": 1569774067.8238258, "env_id": null} 
r,l,t
10,201,75.055974
0,201,75.277188
0,201,75.491835
10,201,75.70969
0,201,75.920038
10,201,76.131383
0,201,76.351895
10,201,76.569687
10,201,76.792579
0,201,76.996414
10,201,77.259087
10,201,77.47485
10,201,77.686474
10,201,77.907263
10,201,78.134804
0,201,78.346069
10,201,78.563096
10,201,78.77643
10,201,79.006736
20,201,79.220602
10,201,79.473273
10,201,79.685539
10,201,79.910603
0,201,80.130879
10,201,80.348014
10,201,80.559921
10,201,80.795799
20,201,81.003961
10,201,81.221274
10,201,81.460373
10,201,81.739218
0,201,81.961705
-10,201,82.184397
20,201,82.399634
10,201,82.604012
10,201,82.819268
20,201,83.037404
10,201,83.260254
0,201,83.467419
0,201,83.67821
20,201,83.936384
20,201,84.151426
10,201,84.373278
10,201,84.585229
10,201,84.803643
10,201,85.018898
20,201,85.221271
10,201,85.427173
20,201,85.646807
10,201,85.856847
10,201,86.074541
30,201,86.349622
10,201,86.564576
0,201,86.781353
10,201,87.001397
10,201,87.215909
20,201,87.424511
20,201,87.652936
20,201,87.869532
10,201,88.084798
10,201,88.301552
20,201,88.564134
20,201,88.775022
10,201,88.982495
10,201,89.19234
10,201,89.40931
20,201,89.620546
0,201,89.833861
10,201,90.044292
30,201,90.273815
0,201,90.48502
10,201,90.746142
20,201,90.976964
20,201,91.197245
10,201,91.407364
20,201,91.618312
10,201,91.835809
10,201,92.049666
20,201,92.275298
20,201,92.509361
20,201,92.726453
10,201,92.999372
10,201,93.217593
20,201,93.432014
20,201,93.643039
10,201,93.853148
10,201,94.065919
0,201,94.282414
10,201,94.500279
10,201,94.721012
20,201,94.943773
10,201,95.212147
0,201,95.422441
20,201,95.636555
20,201,95.857441
0,201,96.067014
-10,201,96.284456
20,201,96.499487
20,201,96.71505
10,201,96.932429
10,201,97.139907
-10,201,97.345111
20,201,97.602096
20,201,97.819542
10,201,98.025439
30,201,98.238473
20,201,98.458777
30,201,98.690341
10,201,98.896372
10,201,99.110948
20,201,99.330092
10,201,99.549295
10,201,99.821553
-10,201,100.033127
30,201,100.243661
20,201,100.469779
30,201,100.695973
10,201,100.907783
20,201,101.117139
20,201,101.338194
20,201,101.568916
30,201,101.792716
20,201,102.058522
10,201,102.271082
30,201,102.4836
10,201,102.685175
20,201,102.887727
20,201,103.097088
10,201,103.321078
20,201,103.529241
0,201,103.741442
30,201,103.957569
30,201,104.225376
10,201,104.448197
-10,201,104.65552
20,201,104.864478
0,201,105.084402
20,201,105.332206
10,201,105.551235
20,201,105.761192
0,201,105.982662
10,201,106.212353
30,201,106.494349
30,201,106.730592
20,201,106.957114
0,201,107.161358
20,201,107.372691
30,201,107.587156
30,201,107.808857
0,201,108.038307
30,201,108.270542
30,201,108.488725
0,201,108.70407
30,201,108.970282
30,201,109.180554
30,201,109.399032
20,201,109.620845
20,201,109.829506
10,201,110.039726
-10,201,110.27285
30,201,110.507393
20,201,110.744725
10,201,110.966516
10,201,111.243869
20,201,111.456461
30,201,111.672505
20,201,111.885047
40,201,112.093804
30,201,112.303551
30,201,112.511353
30,201,112.728581
30,201,112.971694
20,201,113.17903
30,201,113.439459
30,201,113.664381
30,201,113.897646
30,201,114.1226
30,201,114.348791
30,201,114.562488
20,201,114.769322
40,201,114.999751
40,201,115.21728
20,201,115.444848
20,201,115.716202
30,201,115.931739
40,201,116.150839
10,201,116.364908
30,201,116.579793
30,201,116.800606
10,201,117.020428
10,201,117.237553
10,201,117.450034
20,201,117.671845
20,201,117.932569
20,201,118.152288
40,201,118.370902
30,201,118.58903
30,201,118.808898
50,201,119.027239
-10,201,119.251846
10,201,119.469796
30,201,119.691731
30,201,119.913039
10,201,120.126114
30,201,120.396448
40,201,120.609874
40,201,120.832921
50,201,121.06313
20,201,121.28511
20,201,121.495255
30,201,121.70793
30,201,121.921013
30,201,122.126535
30,201,122.331424
30,201,122.590602
0,201,122.794612
30,201,123.010763
30,201,123.225395
40,201,123.439484
0,201,123.652608
40,201,123.884404
30,201,124.105712
30,201,124.318284
30,201,124.521741
10,201,124.783778
40,201,124.993574
20,201,125.194732
20,201,125.387956
30,201,125.59859
30,201,125.814138
20,201,126.029972
30,201,126.240325
40,201,126.460616
30,201,126.695189
30,201,126.967439
20,201,127.188431
10,201,127.412866
30,201,127.627103
30,201,127.845587
30,201,128.057609
40,201,128.267756
20,201,128.488821
10,201,128.707397
30,201,128.939279
20,201,129.201623
10,201,129.411137
30,201,129.653952
30,201,129.877802
40,201,130.097485
30,201,130.320301
20,201,130.527804
30,201,130.742328
0,201,130.959177
40,201,131.166528
40,201,131.437041
40,201,131.667721
40,201,131.892602
40,201,132.108333
20,201,132.326637
40,201,132.544487
30,201,132.766054
30,201,133.002008
40,201,133.253444
30,201,133.505308
40,201,133.72597
40,201,133.995224
40,201,134.213385
40,201,134.456924
30,201,134.687513
-20,201,134.919385
40,201,135.13934
30,201,135.357504
40,201,135.572857
30,201,135.790327
30,201,136.002856
40,201,136.266172
50,201,136.482689
40,201,136.696178
20,201,136.91699
0,201,137.142746
30,201,137.360771
20,201,137.581437
30,201,137.798945
20,201,138.03273
40,201,138.248382
40,201,138.517984
40,201,138.73232
40,201,138.937141
40,201,139.159846
30,201,139.379767
30,201,139.592466
30,201,139.806166
40,201,140.051877
40,201,140.299097
40,201,140.509843
30,201,140.778943
20,201,141.010902
40,201,141.242825
40,201,141.467153
20,201,141.685288
30,201,141.915951
20,201,142.131279
40,201,142.354607
40,201,142.588022
40,201,142.818532
30,201,143.094175
10,201,143.310609
30,201,143.524586
40,201,143.751693
20,201,143.972856
50,201,144.193047
40,201,144.406594
50,201,144.618811
40,201,144.829605
40,201,145.040354
30,201,145.256988
40,201,145.52656
50,201,145.734489
40,201,145.977829
40,201,146.236429
20,201,146.48434
40,201,146.714352
40,201,146.933072
10,201,147.149526
40,201,147.364926
40,201,147.586698
40,201,147.862909
30,201,148.074921
30,201,148.312307
50,201,148.564862
50,201,148.812147
40,201,149.042676
40,201,149.260465
20,201,149.488015
30,201,149.703727
10,201,149.911018
30,201,150.177571
40,201,150.440177
40,201,150.662225
30,201,150.879587
30,201,151.089087
30,201,151.305298
50,201,151.515625
40,201,151.72458
40,201,151.953047
40,201,152.188186
40,201,152.472577
40,201,152.698977
40,201,152.920568
40,201,153.153636
30,201,153.371755
40,201,153.582777
40,201,153.80146
20,201,154.01242
10,201,154.229974
40,201,154.459477
40,201,154.744397
40,201,154.970528
20,201,155.192514
40,201,155.40126
30,201,155.61967
40,201,155.827714
30,201,156.051366
20,201,156.278429
20,201,156.500764
40,201,156.722233
30,201,156.942389
50,201,157.214099
40,201,157.441255
50,201,157.66538
50,201,157.88333
20,201,158.105906
30,201,158.313511
40,201,158.529576
40,201,158.742427
40,201,158.952544
30,201,159.159278
40,201,159.43843
50,201,159.652078
40,201,159.861347
30,201,160.081164
50,201,160.301446
40,201,160.513724
40,201,160.729343
40,201,160.939406
40,201,161.152062
20,201,161.365374
30,201,161.670894
40,201,161.886654
40,201,162.113361
50,201,162.36112
40,201,162.576365
40,201,162.822493
40,201,163.043521
40,201,163.266475
20,201,163.489996
20,201,163.728282
30,201,163.995381
50,201,164.231799
50,201,164.459957
50,201,164.666438
50,201,164.867801
40,201,165.085521
50,201,165.305768
20,201,165.520367
50,201,165.751159
50,201,165.987215
40,201,166.293563
40,201,166.520238
30,201,166.747326
40,201,166.969005
50,201,167.192531
40,201,167.411521
40,201,167.634011
50,201,167.847376
50,201,168.063508
50,201,168.283786
50,201,168.566818
40,201,168.783171
50,201,168.997875
40,201,169.213567
30,201,169.448041
50,201,169.658591
30,201,169.876716
40,201,170.101228
40,201,170.331275
30,201,170.552108
0,201,170.773074
50,201,171.032648
40,201,171.244023
50,201,171.454959
40,201,171.67898
30,201,171.903362
40,201,172.133243
40,201,172.348179
50,201,172.568133
40,201,172.79024
40,201,173.020104
40,201,173.286924
30,201,173.497918
40,201,173.714486
40,201,173.936381
50,201,174.186147
40,201,174.431085
50,201,174.642955
30,201,174.858206
50,201,175.069332
20,201,175.277251
40,201,175.53432
30,201,175.735868
40,201,175.949151
30,201,176.17302
40,201,176.391404
30,201,176.606943
50,201,176.816008
40,201,177.016858
50,201,177.226352
30,201,177.433197
50,201,177.685556
50,201,177.905603
50,201,178.123698
30,201,178.339356
40,201,178.555395
40,201,178.764407
40,201,178.982005
40,201,179.202235
30,201,179.420576
40,201,179.64166
30,201,179.902589
30,201,180.11841
40,201,180.335874
40,201,180.548258
20,201,180.801019
50,201,181.033652
50,201,181.241741
40,201,181.462508
30,201,181.684234
40,201,181.906106
20,201,182.135937
40,201,182.408949
40,201,182.632376
50,201,182.849956
40,201,183.063503
50,201,183.272875
50,201,183.494811
30,201,183.719682
