eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
201.0,-30.0,832,0.0009625915,0.0,1.9450456,-0.0028530264,7.0901923,-0.011707067489624023,1,2048,2.4613890489999903,2048
201.0,-16.8,942,0.001122059,0.0,1.8671125,-0.0021152957,1.6573896,0.047351181507110596,10,20480,22.502666784999747,20480
201.0,-3.7,928,0.0006702846,0.0007324219,1.7389616,-0.0018672841,0.6308384,0.25233185291290283,20,40960,44.75889479599937,40960
201.0,-0.1,908,0.00017913817,0.0,1.5838246,-0.00077612203,0.7044426,0.22754526138305664,30,61440,67.42667634900135,61440
201.0,8.5,921,0.00021640702,0.0,1.3712986,3.596436e-05,2.6936297,0.4036672115325928,40,81920,89.83947654299845,81920
201.0,16.5,912,0.0017990586,0.014526367,1.0207251,-0.0033108676,2.5707715,0.619213730096817,50,102400,112.50989029699849,102400
201.0,27.5,883,0.0006082935,0.0056152344,0.7370432,0.0005544925,4.0365915,0.49090665578842163,60,122880,135.31072321399915,122880
201.0,34.2,903,0.00012900491,0.00012207031,0.59914815,-0.00060638797,4.4654036,0.4774462580680847,70,143360,158.4545417139998,143360
201.0,39.2,881,0.0008509408,0.0075683594,0.5262326,-0.00075212476,6.2781,0.32727479934692383,80,163840,181.39895643300042,163840
201.0,42.4,904,0.00063856906,0.004272461,0.42731312,-0.0011839131,6.1324673,0.3447929620742798,90,184320,203.9494865170018,184320
201.0,42.2,863,0.00014437949,0.0,0.413841,9.804104e-05,5.243036,0.4163340926170349,100,204800,226.7625541160014,204800
201.0,45.5,887,0.00073067506,0.00024414062,0.3295729,-0.002080917,6.983632,0.3553658723831177,110,225280,249.759176380001,225280
201.0,47.3,883,0.00012657762,0.0008544922,0.31960955,-0.00032580466,7.086375,0.2959362268447876,120,245760,272.7048580970004,245760
201.0,46.8,897,0.0005233099,0.0,0.30147976,1.640516e-05,6.0485725,0.39428550004959106,130,266240,295.5095538259993,266240
201.0,48.5,890,0.000739081,0.0007324219,0.27937707,-0.0009208294,7.29674,0.35499972105026245,140,286720,318.4592699970017,286720
201.0,48.5,907,0.0003099494,0.0,0.2798806,-0.00017636747,6.521989,0.39795196056365967,150,307200,341.69519434099857,307200
201.0,47.8,885,3.3197157e-05,0.0,0.27090064,-0.00019790718,6.4443583,0.38809704780578613,160,327680,365.00705872600156,327680
201.0,49.5,889,0.00011092788,0.00024414062,0.23477338,-0.00038577087,6.5309424,0.42491769790649414,170,348160,388.0203785550002,348160
201.0,49.4,897,8.807013e-05,0.00024414062,0.206432,-0.00044484643,8.369489,0.30475419759750366,180,368640,410.5897812039984,368640
