# {"t_start": 1569812051.8522682, "env_id": null} 
r,l,t
0,201,71.728521
0,201,71.946914
0,201,72.154414
0,201,72.3622
0,201,72.62669
0,201,72.847076
0,201,73.060093
0,201,73.286574
0,201,73.506188
0,201,73.71869
0,201,73.935368
-10,201,74.149329
0,201,74.377897
0,201,74.610915
0,201,74.892949
0,201,75.098892
0,201,75.31544
0,201,75.535296
0,201,75.739567
0,201,75.947218
0,201,76.155137
0,201,76.349071
0,201,76.55095
0,201,76.759151
0,201,77.021217
0,201,77.217564
0,201,77.427448
0,201,77.631861
0,201,77.839268
0,201,78.05024
0,201,78.252941
-10,201,78.461961
0,201,78.683578
0,201,78.892725
0,201,79.15537
0,201,79.375101
0,201,79.596354
0,201,79.803089
0,201,80.020591
0,201,80.225554
0,201,80.432055
0,201,80.64721
0,201,80.859815
0,201,81.061852
0,201,81.315526
0,201,81.527923
0,201,81.742851
0,201,81.949059
0,201,82.161378
0,201,82.370695
0,201,82.579475
0,201,82.798322
0,201,83.012193
0,201,83.221778
0,201,83.451694
0,201,83.716821
0,201,83.933635
0,201,84.154889
-10,201,84.381534
0,201,84.599369
0,201,84.836004
0,201,85.059117
0,201,85.292712
0,201,85.614022
0,201,85.873281
0,201,86.226774
0,201,86.436297
0,201,86.654075
0,201,86.867051
0,201,87.090559
0,201,87.305818
-10,201,87.520658
0,201,87.741138
0,201,87.982779
0,201,88.18425
0,201,88.440914
0,201,88.652347
0,201,88.880717
-10,201,89.103683
0,201,89.314728
0,201,89.525693
-10,201,89.728179
0,201,89.929064
-10,201,90.141547
0,201,90.352501
0,201,90.612255
0,201,90.817591
0,201,91.020588
0,201,91.224466
0,201,91.43252
0,201,91.638005
-10,201,91.840126
0,201,92.061664
0,201,92.279981
0,201,92.493529
0,201,92.75389
-10,201,92.953804
0,201,93.166179
0,201,93.368482
0,201,93.57679
0,201,93.78944
0,201,93.994239
0,201,94.20636
0,201,94.415766
0,201,94.623596
0,201,94.836739
0,201,95.088489
0,201,95.307409
-10,201,95.52124
0,201,95.741778
0,201,95.944858
0,201,96.166487
0,201,96.39131
0,201,96.616748
0,201,96.826166
0,201,97.025881
0,201,97.291768
0,201,97.491856
0,201,97.703111
0,201,97.919115
0,201,98.135058
0,201,98.382086
0,201,98.588949
0,201,98.789949
0,201,99.013563
0,201,99.236196
0,201,99.511285
0,201,99.715126
0,201,99.924601
0,201,100.140598
0,201,100.351948
0,201,100.562608
0,201,100.766473
-10,201,100.964947
0,201,101.177542
0,201,101.374298
0,201,101.635588
0,201,101.863457
0,201,102.062243
0,201,102.274415
0,201,102.4802
0,201,102.697507
0,201,102.914531
0,201,103.118738
